name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Sean Colson,2001,2001,G,183,79,July 1, 1975,University of North Carolina at Charlotte,2716,Sean Colson,University of North Carolina at Charlotte,1975,Philadelphia,Pennsylvania
Steve Colter,1985,1995,G,190,74,July 24, 1962,New Mexico State University,1662,Steve Colter,New Mexico State University,1962,Phoenix,Arizona
Glen Combs,1969,1975,G,6-2,185,October 30, 1946,Virginia Polytechnic Institute and State University
Leroy Combs,1984,1984,F,203,95,January 1, 1961,Oklahoma State University,1599,Leroy Combs,Oklahoma State University,1961,Oklahoma City,Oklahoma
John Comeaux,1968,1968,F,6-5,193,September 15, 1943,Grambling State University
Dallas Comegys,1988,1989,F,206,92,August 17, 1964,DePaul University,1839,Dallas Comegys,DePaul University,1964,Philadelphia,Pennsylvania
Larry Comley,1964,1964,G,196,95,August 17, 1939,Kansas State University,601,Larry Comley,Kansas State University,1939,,
Jeffrey Congdon,1968,1972,G,6-1,180,October 17, 1943,Brigham Young University
Gene Conley,1953,1964,C-F,203,102,November 10, 1930,Washington State University,288,Gene Conley,Washington State University,1930,Muskogee,Oklahoma
Larry Conley,1968,1968,G,6-3,175,January 22, 1944,University of Kentucky
Mike Conley,2008,2018,G,185,79,October 11, 1987,Ohio State University,3213,Mike Conley,Ohio State University,1987,Fayetteville,Arkansas
Ed Conlin,1956,1962,F-G,196,90,September 2, 1933,Fordham University,392,Ed Conlin,Fordham University,1933,,
Marty Conlon,1992,2000,F-C,208,101,January 19, 1968,Providence College,2133,Marty Conlon,Providence College,1968,Bronx,New York
Pat Connaughton,2016,2018,G,196,93,January 6, 1993,University of Notre Dame,3771,Pat Connaughton,University of Notre Dame,1993,Arlington,Massachusetts
Jimmy Conner,1976,1976,G,6-4,190,March 20, 1953,University of Kentucky
Lester Conner,1983,1995,G,193,81,September 17, 1959,Oregon State University,1536,Lester Conner,Oregon State University,1959,Memphis,Tennessee
Chuck Connors,1947,1948,F-C,6-5,190,April 10, 1921,Seton Hall University
Will Conroy,2007,2013,G,188,88,December 8, 1982,University of Washington,3144,Will Conroy,University of Washington,1982,Portland,Oregon
Anthony Cook,1991,1996,F-C,206,92,March 19, 1967,University of Arizona,2065,Anthony Cook,University of Arizona,1967,Los Angeles,California
Bert Cook,1955,1955,G-F,190,83,April 26, 1929,Utah State University,358,Bert Cook,Utah State University,1929,,
Bobby Cook,1950,1950,G-F,178,70,April 1, 1923,University of Wisconsin,32,Bobby Cook,University of Wisconsin,1923,,
Brian Cook,2004,2012,F,206,106,December 4, 1980,University of Illinois at Urbana-Champaign,2921,Brian Cook,University of Illinois at Urbana-Champaign,1980,Lincoln,Illinois
Daequan Cook,2008,2013,G,190,83,April 28, 1987,Ohio State University,3214,Daequan Cook,University of Portland,1958,Los Angeles,California
Darwin Cook,1981,1989,G,190,83,August 6, 1958,University of Portland,1402,Darwin Cook,University of Portland,1958,Los Angeles,California
Jeff Cook,1980,1988,F-C,208,97,October 21, 1956,Idaho State University,1345,Jeff Cook,Idaho State University,1956,West Covina,California
Norm Cook,1977,1978,F,203,95,March 21, 1955,University of Kansas,1137,Norm Cook,University of Kansas,1955,Chicago,Illinois
Omar Cook,2004,2005,G,185,86,January 28, 1982,St. John's University,2922,Omar Cook,St. John's University,1982,Brooklyn,New York
Quinn Cook,2017,2018,G,188,83,March 23, 1993,Duke University,3847,Quinn Cook,Duke University,1993,Washington,District of Columbia
Charles Cooke,2018,2018,G,6-5,196,July 1, 1994,University of Dayton
David Cooke,1986,1986,F,203,104,September 27, 1963,Saint Mary's College of California,1716,David Cooke,Saint Mary's College of California,1963,Sacramento,California
Joe Cooke,1971,1971,G,190,79,August 14, 1948,Indiana University,830,Joe Cooke,Indiana University,1948,,
Jack Cooley,2015,2018,F-C,206,117,April 4, 1991,University of Notre Dame,3696,Jack Cooley,University of Notre Dame,1991,Evanston,Illinois
Chuck Cooper,1951,1956,F,196,95,September 29, 1926,Duquesne University,232,Chuck Cooper,Duquesne University,1926,,
Duane Cooper,1993,1994,G,185,83,June 25, 1969,University of Southern California,2189,Duane Cooper,University of Southern California,1969,Benton Harbor,Michigan
Joe Cooper,1982,1985,C-F,208,104,September 1, 1957,University of Colorado,1482,Joe Cooper,University of Colorado,1957,Houston,Texas
Michael Cooper,1979,1990,G-F,196,77,April 15, 1956,University of New Mexico,1296,Michael Cooper,University of New Mexico,1956,Los Angeles,California
Wayne Cooper,1979,1992,C-F,208,99,November 16, 1956,University of New Orleans,1297,Wayne Cooper,University of New Orleans,1956,Milan,Georgia
Tom Copa,1992,1992,C,208,124,October 30, 1964,Marquette University,2134,Tom Copa,Marquette University,1964,Robbinsdale,Minnesota
Chris Copeland,2013,2016,F,206,108,March 17, 1984,University of Colorado,3540,Chris Copeland,University of Colorado,1984,Orange,New Jersey
Hollis Copeland,1980,1982,F,198,81,December 20, 1955,Rutgers University,1346,Hollis Copeland,Rutgers University,1955,Trenton,New Jersey
Lanard Copeland,1990,1992,G,198,86,July 16, 1965,Georgia State University,1980,Lanard Copeland,Georgia State University,1965,Atlanta,Georgia
Tyrone Corbin,1986,2001,G-F,198,95,December 31, 1962,DePaul University,1717,Tyrone Corbin,DePaul University,1962,Columbia,South Carolina
Chris Corchiani,1992,1994,G,183,83,March 28, 1968,North Carolina State University,2135,Chris Corchiani,North Carolina State University,1968,Coral Gables,Florida
Ken Corley,1947,1947,C,6-5,210,,Oklahoma State Teachers College
Ray Corley,1950,1953,G,183,81,January 1, 1928,Georgetown University,33,Ray Corley,Georgetown University,1928,,
Dave Corzine,1979,1991,C,211,113,April 25, 1956,DePaul University,1298,Dave Corzine,DePaul University,1956,Arlington Heights,Illinois
Larry Costello,1955,1968,G,185,84,July 2, 1931,Niagara University,359,Larry Costello,Niagara University,1931,Minoa,New York
Matt Costello,2018,2018,F,6-9,245,August 5, 1993,Michigan State University
Bryce Cotton,2015,2016,G,185,74,August 11, 1992,Providence College,3697,Bryce Cotton,Providence College,1992,Tucson,Arizona
Jack Cotton,1950,1950,F-C,201,90,October 25, 1924,University of Wyoming,34,Jack Cotton,University of Wyoming,1924,Miles City,Montana
James Cotton,1998,1999,G,201,90,December 14, 1975,California State University, Long Beach,2530,James Cotton,University of Wyoming,1924,Miles City,Montana
John Coughran,1980,1980,F,201,102,September 12, 1951,University of California,1347,John Coughran,University of California,1951,Pittsburg,California
Mel Counts,1965,1976,C-F,213,104,October 16, 1941,Oregon State University,628,Mel Counts,Oregon State University,1941,Coos Bay,Oregon
Steve Courtin,1965,1965,G,185,85,September 21, 1942,Saint Joseph's University,629,Steve Courtin,Saint Joseph's University,1942,,
Joe Courtney,1993,1997,F,203,106,October 17, 1969,University of Southern Mississippi,2190,Joe Courtney,University of Southern Mississippi,1969,Jackson,Mississippi
Marcus Cousin,2011,2011,C,211,111,December 18, 1986,University of Houston,3398,Marcus Cousin,University of Houston,1986,Baltimore,Maryland
DeMarcus Cousins,2011,2018,C-F,211,122,August 13, 1990,University of Kentucky,3399,DeMarcus Cousins,University of Kentucky,1990,Mobile,Alabama
Bob Cousy,1951,1970,G,6-1,175,August 9, 1928,College of the Holy Cross
Robert Covington,2014,2018,F,206,97,December 14, 1990,Tennessee State University,3623,Robert Covington,Tennessee State University,1990,Bellwood,Illinois
Dave Cowens,1971,1983,C-F,6-9,230,October 25, 1948,Florida State University
Chubby Cox,1983,1983,G,188,81,December 29, 1955,University of San Francisco,1537,Chubby Cox,University of San Francisco,1955,Philadelphia,Pennsylvania
Johnny Cox,1963,1963,G,193,81,November 1, 1936,University of Kentucky,568,Johnny Cox,University of Kentucky,1936,Neon,Kentucky
Wesley Cox,1978,1979,F,198,97,January 27, 1955,University of Louisville,1241,Wesley Cox,University of Louisville,1955,Louisville,Kentucky
Allen Crabbe,2014,2018,G-F,198,95,April 9, 1992,University of California,3624,Allen Crabbe,University of California,1992,Los Angeles,California
Torrey Craig,2018,2018,G-F,6-6,215,December 19, 1990,University of South Carolina Upstate
Chris Crawford,1998,2004,F,206,106,May 13, 1975,Marquette University,2531,Chris Crawford,Marquette University,1975,Kalamazoo,Michigan
Freddie Crawford,1967,1971,G-F,193,85,December 23, 1941,St. Bonaventure University,679,Freddie Crawford,St. Bonaventure University,1941,New York,New York
Jamal Crawford,2001,2018,G,196,90,March 20, 1980,University of Michigan,2717,Jamal Crawford,University of Michigan,1980,Seattle,Washington
Joe Crawford,2009,2009,F,196,95,June 17, 1986,University of Kentucky,3277,Joe Crawford,University of Kentucky,1986,Detroit,Michigan
Jordan Crawford,2011,2018,G,196,95,October 23, 1988,Xavier University,3400,Jordan Crawford,University of Kentucky,1986,Detroit,Michigan
Jim Creighton,1976,1976,F,203,90,April 18, 1950,University of Colorado,1079,Jim Creighton,University of Colorado,1950,Billings,Montana
Ron Crevier,1986,1986,C,213,106,April 14, 1958,Boston College,1718,Ron Crevier,Boston College,1958,Montreal,Canada
Hal Crisler,1947,1947,F,6-3,215,December 31, 1923,Iowa State University
Joe Crispin,2002,2002,G,183,83,July 18, 1979,Pennsylvania State University,2797,Joe Crispin,Pennsylvania State University,1979,Pitman,New Jersey
Charlie Criss,1978,1985,G,173,74,November 6, 1948,New Mexico State University,1242,Charlie Criss,New Mexico State University,1948,Valhalla,New York
Russell Critchfield,1969,1969,G,5-10,150,June 27, 1946,University of California
Winston Crite,1988,1989,F,201,105,June 20, 1965,Texas A&M University,1840,Winston Crite,Texas A&M University,1965,Bakersfield,California
Javaris Crittenton,2008,2009,G,196,90,December 31, 1987,Georgia Institute of Technology,3215,Javaris Crittenton,Georgia Institute of Technology,1987,Atlanta,Georgia
Dillard Crocker,1949,1953,F-G,193,92,January 19, 1925,Western Michigan University,35,Dillard Crocker,Western Michigan University,1925,Coffee County,Tennessee
Bobby Croft,1971,1971,C,6-10,200,March 17, 1946,University of Tennessee
Geoff Crompton,1979,1984,C,211,127,July 4, 1955,University of North Carolina,1299,Geoff Crompton,University of North Carolina,1955,Burlington,North Carolina
Terry Crosby,1980,1980,G,193,88,January 4, 1957,University of Tennessee,1348,Terry Crosby,University of Tennessee,1957,Toledo,Ohio
Austin Croshere,1998,2009,F,206,106,May 1, 1975,Providence College,2532,Austin Croshere,Providence College,1975,Los Angeles,California
Jeff Cross,1986,1986,F,208,108,September 1, 1961,University of Maine,1719,Jeff Cross,University of Maine,1961,Chicago,Illinois
Pete Cross,1971,1973,C-F,206,104,March 28, 1948,University of San Francisco,832,Pete Cross,University of San Francisco,1948,,
Russell Cross,1984,1984,C,208,97,September 5, 1961,Purdue University,1600,Russell Cross,Purdue University,1961,Chicago,Illinois
Chink Crossin,1948,1950,G,185,74,July 4, 1923,University of Pennsylvania,36,Chink Crossin,University of Pennsylvania,1923,Luzerne,Pennsylvania
John Crotty,1993,2003,G,185,83,July 15, 1969,University of Virginia,2191,John Crotty,University of Virginia,1969,Orange,New Jersey
Bill Crow,1968,1968,G,6-1,180,December 9, 1940,Westminster College of Utah
Mark Crow,1978,1978,F,201,95,October 22, 1954,Duke University,1243,Mark Crow,Duke University,1954,Edwards AFB,California
Corey Crowder,1992,1995,G-F,196,97,April 13, 1969,Kentucky Wesleyan College,2136,Corey Crowder,Kentucky Wesleyan College,1969,Carrollton,Georgia
Jae Crowder,2013,2018,F,198,106,July 6, 1990,Marquette University,3541,Jae Crowder,Marquette University,1990,Villa Rica,Georgia
Al Cueto,1970,1971,C-F,6-7,230,August 2, 1946,University of Tulsa
Pat Cummings,1980,1991,F-C,206,104,July 11, 1956,University of Cincinnati,1349,Pat Cummings,University of Cincinnati,1956,Johnstown,Pennsylvania
Terry Cummings,1983,2000,F,206,99,March 15, 1961,DePaul University,1538,Terry Cummings,DePaul University,1961,Chicago,Illinois
Vonteego Cummings,2000,2002,G,190,83,February 29, 1976,University of Pittsburgh,2663,Vonteego Cummings,University of Pittsburgh,1976,Thomson,Georgia
Billy Cunningham,1966,1976,F-C,6-6,210,June 3, 1943,University of North Carolina
Dante Cunningham,2010,2018,F,203,104,April 22, 1987,Villanova University,3341,Dante Cunningham,Villanova University,1987,Clinton,Maryland
Dick Cunningham,1969,1975,C,208,111,July 11, 1946,Murray State University,754,Dick Cunningham,Murray State University,1946,Canton,Ohio
Jared Cunningham,2013,2016,G,193,88,May 22, 1991,Oregon State University,3542,Jared Cunningham,Oregon State University,1991,Oakland,California
William Cunningham,1998,1999,C,211,113,March 25, 1974,Temple University,2533,William Cunningham,Temple University,1974,Augusta,Georgia
Radisav Curcic,1993,1993,C,208,124,September 26, 1965,,2192,Radisav Curcic,,1965,Cacak,Serbia
Armand Cure,1947,1947,F,6-0,198,August 1, 1919,University of Rhode Island
Earl Cureton,1981,1997,F-C,206,95,September 3, 1957,University of Detroit Mercy,1403,Earl Cureton,University of Detroit Mercy,1957,Detroit,Michigan
Bill Curley,1995,2001,F,206,99,May 29, 1972,Boston College,2324,Bill Curley,Boston College,1972,Boston,Massachusetts
Fran Curran,1949,1950,G,183,79,September 9, 1922,University of Notre Dame,37,Fran Curran,University of Notre Dame,1922,Sterling,Illinois
Dell Curry,1987,2002,G,193,86,June 25, 1964,Virginia Polytechnic Institute and State University,1777,Dell Curry,Virginia Polytechnic Institute and State University,1964,Harrisonburg,Virginia
Eddy Curry,2002,2013,C,213,133,December 5, 1982,,2798,Eddy Curry,,1982,Harvey,Illinois
JamesOn Curry,2010,2010,G,190,86,January 7, 1986,Oklahoma State University,3342,JamesOn Curry,Oklahoma State University,1986,Pleasant Grove,North Carolina
Michael Curry,1994,2005,F-G,196,95,August 22, 1968,Georgia Southern University,2255,Michael Curry,Georgia Southern University,1968,Anniston,Alabama
Seth Curry,2014,2017,G,188,83,August 23, 1990,Duke University,3625,Seth Curry,Duke University,1990,Charlotte,North Carolina
Stephen Curry,2010,2018,G,190,86,March 14, 1988,Davidson College,3343,Stephen Curry,Davidson College,1988,Akron,Ohio
Rastko Cvetkovic,1996,1996,C,216,117,June 22, 1970,,2394,Rastko Cvetkovic,,1970,Belgrade,Serbia
Mike D'Antoni,1974,1977,G,190,83,May 8, 1951,Marshall University,988,Mike D'Antoni,Marshall University,1951,Mullens,West Virginia
Mike Dabich,1968,1968,C,7-0,242,December 27, 1942,New Mexico State University
Ed Dahler,1952,1952,F,196,86,January 31, 1926,Duquesne University,258,Ed Dahler,Duquesne University,1926,,
Quintin Dailey,1983,1992,G,190,81,January 22, 1961,University of San Francisco,1539,Quintin Dailey,University of San Francisco,1961,Baltimore,Maryland
Samuel Dalembert,2002,2015,C,211,115,May 10, 1981,Seton Hall University,2799,Samuel Dalembert,Seton Hall University,1981,Port-Au-Prince,Haiti
Howie Dallmar,1947,1949,F,6-4,200,May 24, 1922,Stanford University
Erick Dampier,1997,2012,C,211,120,July 14, 1975,Mississippi State University,2459,Erick Dampier,Mississippi State University,1975,Jackson,Mississippi
Louie Dampier,1968,1979,G,6-0,170,November 20, 1944,University of Kentucky
Bob Dandridge,1970,1982,F-G,198,88,November 15, 1947,Norfolk State University,796,Bob Dandridge,Norfolk State University,1947,Richmond,Virginia
Antonio Daniels,1998,2011,G,193,88,March 19, 1975,Bowling Green State University,2534,Antonio Daniels,Bowling Green State University,1975,Columbus,Ohio
Erik Daniels,2005,2005,F,203,97,April 1, 1982,University of Kentucky,2988,Erik Daniels,University of Kentucky,1982,Cincinnati,Ohio
Lloyd Daniels,1993,1998,G,201,92,September 4, 1967,Mount San Antonio College,2193,Lloyd Daniels,Mount San Antonio College,1967,Brooklyn,New York
Marquis Daniels,2004,2013,G-F,198,90,January 7, 1981,Auburn University,2923,Marquis Daniels,Auburn University,1981,Jasper,Florida
Mel Daniels,1968,1977,C,6-9,220,July 20, 1944,University of New Mexico
Troy Daniels,2014,2018,G,193,92,July 15, 1991,Virginia Commonwealth University,3626,Troy Daniels,Virginia Commonwealth University,1991,Roanoke,Virginia
Sasha Danilovic,1996,1997,G,196,90,February 26, 1970,,2395,Sasha Danilovic,,1970,Sarajevo,Bosnia and Herzegovina
Adrian Dantley,1977,1991,F-G,6-5,208,February 28, 1956,University of Notre Dame
Pete Darcey,1953,1953,C,201,98,March 3, 1930,Oklahoma State University,289,Pete Darcey,Oklahoma State University,1930,,
Jimmy Darden,1950,1950,G,185,77,June 19, 1922,University of Denver,38,Jimmy Darden,University of Denver,1922,,
Ollie Darden,1968,1970,F-C,6-7,235,July 28, 1944,University of Michigan
Yinka Dare,1995,1998,C,213,120,October 10, 1972,George Washington University,2325,Yinka Dare,George Washington University,1972,Kano,Nigeria
Jesse Dark,1975,1975,G,196,95,September 2, 1951,Virginia Commonwealth University,1029,Jesse Dark,Virginia Commonwealth University,1951,Richmond,Virginia
Rick Darnell,1976,1976,C-F,6-10,215,January 1, 1953,San Jose State University
Jimmy Darrow,1962,1962,G,178,77,September 25, 1937,Bowling Green State University,539,Jimmy Darrow,Bowling Green State University,1937,Akron,Ohio
Luigi Datome,2014,2015,F,203,97,November 27, 1987,,3627,Luigi Datome,,1987,Montebelluna,Italy
Brad Daugherty,1987,1994,C,213,111,October 19, 1965,University of North Carolina,1778,Brad Daugherty,University of North Carolina,1965,Black Mountain,North Carolina
Mack Daughtry,1971,1971,G,6-3,175,,Albany State University
Kornel David,1999,2001,F,206,106,October 22, 1971,,2592,Kornel David,,1971,Hungary,
Jermareo Davidson,2008,2009,F,208,104,November 15, 1984,University of Alabama,3216,Jermareo Davidson,University of Alabama,1984,Atlanta,Georgia
Bob Davies,1949,1955,G-F,6-1,175,January 15, 1920,Seton Hall University
Brandon Davies,2014,2015,F,208,108,July 25, 1991,Brigham Young University,3628,Brandon Davies,Brigham Young University,1991,Philadelphia,Pennsylvania
Anthony Davis,2013,2018,F-C,206,97,March 11, 1993,University of Kentucky,3543,Anthony Davis,University of Texas at El Paso,1968,Oakland,California
Antonio Davis,1994,2006,F-C,206,97,October 31, 1968,University of Texas at El Paso,2256,Antonio Davis,University of Texas at El Paso,1968,Oakland,California
Aubrey Davis,1947,1947,G-F,6-2,175,March 28, 1921,Oklahoma Baptist University
Baron Davis,2000,2012,G,190,94,April 13, 1979,University of California, Los Angeles,2664,Baron Davis,University of California, Los Angeles,1979,Los Angeles,California
Ben Davis,1997,2000,F,206,108,December 26, 1972,University of Arizona,2460,Ben Davis,University of Arizona,1972,Vero Beach,Florida
Bill Davis,1947,1947,F,6-3,215,October 3, 1920,University of Notre Dame
Bob Davis,1973,1973,F,201,97,April 2, 1950,Weber State University,938,Bob Davis,Weber State University,1950,,
Brad Davis,1978,1992,G,190,81,December 17, 1955,University of Maryland,1244,Brad Davis,University of Maryland,1955,Monaca,Pennsylvania
Brian Davis,1994,1994,F-G,190,81,June 21, 1970,Duke University,2257,Brian Davis,University of Maryland,1955,Monaca,Pennsylvania
Charles Davis,1982,1990,F,188,72,October 5, 1958,Vanderbilt University,1483,Charles Davis,Wake Forest University,1949,New York,New York
Charlie Davis,1972,1974,G,188,72,September 7, 1949,Wake Forest University,892,Charlie Davis,Wake Forest University,1949,New York,New York
Dale Davis,1992,2007,F-C,211,104,March 25, 1969,Clemson University,2137,Dale Davis,Clemson University,1969,Toccoa,Georgia
Deyonta Davis,2017,2018,F-C,211,107,December 2, 1996,Michigan State University,3848,Deyonta Davis,Michigan State University,1996,Muskegon,Michigan
Dwight Davis,1973,1977,F,203,99,October 28, 1949,University of Houston,939,Dwight Davis,University of Houston,1949,Houston,Texas
Ed Davis,2011,2018,F,208,108,June 5, 1989,University of North Carolina,3401,Ed Davis,University of North Carolina,1989,Washington,District of Columbia
Emanual Davis,1997,2003,G,193,88,August 27, 1968,Delaware State University,2461,Emanual Davis,Delaware State University,1968,Philadelphia,Pennsylvania
Glen Davis,2008,2015,F-C,206,131,January 1, 1986,Louisiana State University,3217,Glen Davis,Louisiana State University,1986,Baton Rouge,Louisiana
Harry Davis,1979,1980,F,201,99,January 27, 1956,Florida State University,1300,Harry Davis,Florida State University,1956,Cleveland,Ohio
Hubert Davis,1993,2004,G,196,83,May 17, 1970,University of North Carolina,2194,Hubert Davis,University of North Carolina,1970,Winston-Salem,North Carolina
Jim Davis,1968,1975,C-F,206,102,December 18, 1941,University of Colorado,709,Jim Davis,University of Colorado,1941,Muncie,Indiana
Johnny Davis,1977,1986,G,188,77,October 21, 1955,University of Dayton,1141,Johnny Davis,University of Dayton,1955,Detroit,Michigan
Josh Davis,2004,2012,F,188,77,August 10, 1980,University of Wyoming,2924,Josh Davis,University of Dayton,1955,Detroit,Michigan
Lee Davis,1969,1976,C-F,6-8,235,October 11, 1945,North Carolina Central University
Mark Davis,1989,1989,F-G,198,88,June 8, 1963,Old Dominion University,1901,Mark Davis,Old Dominion University,1963,Chesapeake,Virginia
Mark Davis,1996,2000,G-F,198,88,April 26, 1973,Texas Tech University,1901,Mark Davis,Old Dominion University,1963,Chesapeake,Virginia
Mel Davis,1974,1977,F,198,99,November 9, 1950,St. John's University,989,Mel Davis,St. John's University,1950,New York,New York
Mickey Davis,1972,1977,F-G,190,83,June 16, 1950,Duquesne University,940,Mickey Davis,Virginia Union University,1946,Brooklyn,New York
Mike Davis,1970,1973,G,190,83,July 26, 1946,Virginia Union University,797,Mike Davis,Virginia Union University,1946,Brooklyn,New York
Mike Davis,1983,1983,F,190,83,August 2, 1956,University of Maryland,797,Mike Davis,Virginia Union University,1946,Brooklyn,New York
Monti Davis,1981,1981,F,201,92,July 26, 1958,Tennessee State University,1404,Monti Davis,Tennessee State University,1958,Warren,Ohio
Paul Davis,2007,2010,C,211,122,July 21, 1984,Michigan State University,3145,Paul Davis,Michigan State University,1984,Detroit,Michigan
Ralph Davis,1961,1962,G,193,81,September 7, 1938,University of Cincinnati,512,Ralph Davis,University of Cincinnati,1938,Vanceburg,Kentucky
Red Davis,1956,1956,C,201,99,April 22, 1932,St. John's University,393,Red Davis,St. John's University,1932,,
Ricky Davis,1999,2010,G,198,88,September 23, 1979,University of Iowa,2593,Ricky Davis,University of Iowa,1979,Las Vegas,Nevada
Ron Davis,1977,1982,G-F,198,89,May 1, 1954,Washington State University,1142,Ron Davis,Washington State University,1954,Phoenix,Arizona
Terry Davis,1990,2001,F-C,206,102,June 17, 1967,Virginia Union University,1981,Terry Davis,Virginia Union University,1967,Danville,Virginia
Walt Davis,1954,1958,C-F,203,92,January 5, 1931,Texas A&M University,325,Walt Davis,Texas A&M University,1931,Beaumont,Texas
Walter Davis,1978,1992,G-F,203,92,September 9, 1954,University of North Carolina,1245,Walter Davis,Texas A&M University,1931,Beaumont,Texas
Warren Davis,1968,1973,F-C,6-6,212,June 30, 1943,North Carolina Agricultural and Technical State University
Willie Davis,1971,1971,C,6-8,234,August 9, 1945,University of North Texas
Andre Dawkins,2015,2015,G,196,97,September 19, 1991,Duke University,3698,Andre Dawkins,Duke University,1991,Fairfax,Virginia
Darryl Dawkins,1976,1989,C,211,113,January 11, 1957,,1080,Darryl Dawkins,,1957,Orlando,Florida
Johnny Dawkins,1987,1995,G,188,74,September 28, 1963,Duke University,1779,Johnny Dawkins,Duke University,1963,Washington,District of Columbia
Paul Dawkins,1980,1980,F,196,86,June 10, 1957,Northern Illinois University,1350,Paul Dawkins,Northern Illinois University,1957,Saginaw,Michigan
Branden Dawson,2016,2016,F,198,102,February 1, 1993,Michigan State University,3772,Branden Dawson,Michigan State University,1993,Gary,Indiana
Eric Dawson,2012,2012,F,206,113,July 7, 1984,Midwestern State University,3461,Eric Dawson,Midwestern State University,1984,San Antonio,Texas
Jimmy Dawson,1968,1968,G,6-0,175,April 18, 1945,University of Illinois at Urbana-Champaign
Tony Dawson,1991,1995,F,201,97,August 25, 1967,Florida State University,2066,Tony Dawson,Florida State University,1967,Kinston,North Carolina
Todd Day,1993,2001,G-F,198,85,January 7, 1970,University of Arkansas,2195,Todd Day,University of Arkansas,1970,Decatur,Illinois
Austin Daye,2010,2015,F,211,99,June 5, 1988,Gonzaga University,3344,Austin Daye,Gonzaga University,1988,Irvine,California
Darren Daye,1984,1988,F-G,203,99,November 30, 1960,University of California, Los Angeles,1601,Darren Daye,University of California, Los Angeles,1960,Des Moines,Iowa
Nando De Colo,2013,2014,G,6-5,200,June 23, 1987,
Greg Deane,1980,1980,G,193,86,December 6, 1957,University of Utah,1351,Greg Deane,University of Utah,1957,Tulare,California
Billy DeAngelis,1971,1971,G,6-1,180,October 5, 1946,Saint Joseph's University
Dave DeBusschere,1963,1974,F-G,6-6,220,October 16, 1940,University of Detroit Mercy
Andrew DeClercq,1996,2005,F-C,208,104,February 1, 1973,University of Florida,2396,Andrew DeClercq,University of Florida,1973,Detroit,Michigan
Dewayne Dedmon,2014,2018,C,213,111,August 12, 1989,University of Southern California,3629,Dewayne Dedmon,University of Southern California,1989,Lancaster,California
Don Dee,1969,1969,F,6-8,210,August 9, 1943,Saint Mary of the Plains College
Archie Dees,1959,1962,F-C,203,92,February 22, 1936,Indiana University,470,Archie Dees,Indiana University,1936,Ethel,Mississippi
Terry Dehere,1994,1999,G,188,86,September 12, 1971,Seton Hall University,2258,Terry Dehere,Seton Hall University,1971,New York,New York
Red Dehnert,1947,1947,F,6-3,175,January 24, 1924,Columbia University
Bryce Dejean-Jones,2016,2016,G,198,94,August 21, 1992,Iowa State University,3773,Bryce Dejean-Jones,Iowa State University,1992,Los Angeles,California
Sam Dekker,2016,2018,F,206,104,May 6, 1994,University of Wisconsin,3774,Sam Dekker,University of Wisconsin,1994,Sheboygan,Wisconsin
Vinny Del Negro,1989,2002,G,6-4,185,August 9, 1966,North Carolina State University
Malcolm Delaney,2017,2018,G,190,86,March 11, 1989,Virginia Polytechnic Institute and State University,3849,Malcolm Delaney,Virginia Polytechnic Institute and State University,1989,Baltimore,Maryland
Bison Dele,1992,1999,F-C,206,106,April 6, 1969,University of Arizona,2138,Bison Dele,University of Arizona,1969,Fresno,California
Carlos Delfino,2005,2013,G,198,104,August 29, 1982,,2989,Carlos Delfino,,1982,Santa Fe,Argentina
Tony Delk,1997,2006,G,185,85,January 28, 1974,University of Kentucky,2462,Tony Delk,University of Kentucky,1974,Covington,Tennessee
Matthew Dellavedova,2014,2018,G,193,89,September 8, 1990,Saint Mary's College of California,3630,Matthew Dellavedova,Saint Mary's College of California,1990,Maryborough,Australia
Nate DeLong,1952,1952,C,198,99,January 5, 1926,University of Wisconsin-River Falls,259,Nate DeLong,University of Wisconsin-River Falls,1926,,
Fennis Dembo,1989,1989,F,196,97,January 24, 1966,University of Wyoming,1903,Fennis Dembo,University of Wyoming,1966,Mobile,Alabama
Larry Demic,1980,1982,F-C,206,102,June 27, 1957,University of Arizona,1352,Larry Demic,University of Arizona,1957,Gary,Indiana
Dell Demps,1994,1997,G,190,92,February 12, 1970,University of the Pacific,2259,Dell Demps,University of the Pacific,1970,Long Beach,California
George Dempsey,1955,1959,G,188,86,July 19, 1929,King's College,360,George Dempsey,King's College,1929,Philadelphia,Pennsylvania
Luol Deng,2005,2018,F,206,99,April 16, 1985,Duke University,2990,Luol Deng,Duke University,1985,Wow,South Sudan
Kenny Dennard,1982,1984,F,203,99,October 18, 1958,Duke University,1484,Kenny Dennard,Duke University,1958,King,North Carolina
Blaine Denning,1953,1953,G,188,79,September 19, 1930,Lawrence Technological University,290,Blaine Denning,Lawrence Technological University,1930,,
Justin Dentmon,2012,2013,G,180,83,September 5, 1985,University of Washington,3462,Justin Dentmon,University of Washington,1985,Carbondale,Illinois
Randy Denton,1972,1977,C,208,108,February 18, 1949,Duke University,1143,Randy Denton,Duke University,1949,Raleigh,North Carolina
Joe DePre,1971,1973,G,6-3,185,December 19, 1947,St. John's University
Rod Derline,1975,1976,G,183,79,March 11, 1952,Seattle University,1030,Rod Derline,Seattle University,1952,Elma,Washington
DeMar DeRozan,2010,2018,G-F,201,100,August 7, 1989,University of Southern California,3345,DeMar DeRozan,University of Southern California,1989,Compton,California
